Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,8,8.0,18.514,1
43,43,64,88.28,0.268,1
16,2,53,55.4,0.645,1
0,0,0,0.0,0.681,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.776,1
0,0,0,0.0,0.749,1
0,0,0,0.0,0.799,1
0,6,0,6.0,0.869,1
0,0,0,0.0,0.91,1
53,111,46,131.32,0.86,1
35,8,14,38.54,0.795,1
28,36,18,49.03,0.741,1
74,54,6,91.8,0.712,1
28,140,86,166.67,0.683,1
25,5,19,31.8,0.655,1
11,66,9,67.51,0.708,1
0,27,3,27.17,0.744,1
0,10,14,17.2,0.758,1
0,19,76,78.34,0.77,1
20,0,37,42.06,0.755,1
5,0,11,12.08,0.753,1
0,0,18,18.0,0.731,1
0,0,0,0.0,0.75,1
0,0,0,0.0,0.732,1
0,0,0,0.0,0.722,1
0,0,0,0.0,0.707,1
0,0,0,0.0,0.703,1
20,0,58,61.35,0.729,1
0,0,22,22.0,0.551,1
0,0,12,12.0,0.296,1
0,7,12,13.89,0.912,1
11,6,50,51.55,0.271,1
0,0,4,4.0,0.251,1
0,0,0,0.0,1.989,1
0,0,0,0.0,0.391,1
0,0,0,0.0,0.783,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.539,1
0,0,0,0.0,0.251,1
0,0,0,0.0,0.256,1
0,0,0,0.0,0.357,1
121,79,70,160.57,9.245,1
64,62,61,107.99,0.533,1
26,52,19,61.16,0.372,1
134,218,125,284.79,12.458,1
138,82,85,181.64,0.712,1
66,23,31,76.46,0.744,1
9,0,2,9.22,0.761,1
0,0,0,0.0,0.525,1
0,0,0,0.0,0.915,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.764,1
0,0,0,0.0,0.754,1
107,150,76,199.31,0.718,1
48,81,35,100.45,0.707,1
7,84,51,98.52,0.697,1
70,105,18,127.47,0.699,1
55,96,71,131.46,0.718,1
28,54,154,165.58,0.671,1
156,79,193,260.43,0.696,1
51,4,47,69.47,0.679,1
0,12,0,12.0,0.672,1
0,1,0,1.0,0.673,1
56,27,2,62.2,0.685,1
28,34,0,44.05,0.679,1
26,36,2,44.45,0.676,1
49,0,0,49.0,0.65,1
0,0,0,0.0,0.66,1
10,0,0,10.0,0.688,1
26,22,11,35.79,0.732,1
6,5,0,7.81,0.754,1
20,0,0,20.0,0.699,1
29,0,0,29.0,0.69,1
0,0,0,0.0,0.703,1
0,0,0,0.0,0.744,1
5,2,7,8.83,0.82,1
109,108,115,191.76,0.914,1
140,154,59,216.33,0.813,1
53,139,43,154.85,0.782,1
69,98,61,134.48,0.75,1
79,56,48,108.08,0.613,1
140,44,186,236.92,0.921,1
204,42,108,234.61,0.771,1
7,1,108,108.23,0.766,1
41,31,79,94.25,0.82,1
64,103,32,125.42,0.607,1
113,45,57,134.32,0.701,1
104,69,96,157.46,0.303,1
70,136,26,155.15,0.386,1
114,39,43,127.93,0.593,1
100,134,86,188.02,0.843,1
142,156,128,246.75,0.823,1
215,110,98,260.63,0.39,1
91,69,63,130.43,0.533,1
62,16,68,93.4,0.94,1
5,18,0,18.68,0.864,1
47,26,38,65.8,0.813,1
360,272,61,455.31,0.763,1
80,101,44,136.15,0.744,1
76,83,0,112.54,0.742,1
38,11,0,39.56,0.752,1
244,192,63,316.81,0.732,1
130,141,74,205.57,0.758,1
70,81,0,107.06,0.768,1
0,35,0,35.0,0.786,1
9,0,0,9.0,0.784,1
33,95,20,102.54,0.749,1
63,20,117,134.38,0.688,1
72,222,130,267.15,0.658,1
46,75,10,88.55,0.623,1
5,15,29,33.03,0.635,1
38,0,23,44.42,0.629,1
28,0,23,36.24,0.642,1
14,24,37,46.27,0.667,1
23,13,61,66.48,0.714,1
192,287,41,347.73,0.699,1
130,129,29,185.42,0.68,1
182,433,43,471.66,0.312,1
42,119,11,126.67,0.279,1
7,69,0,69.35,0.291,1
0,10,0,10.0,0.903,1
85,54,1,100.71,0.756,1
84,369,80,386.8,0.683,1
67,168,35,184.22,1.327,1
17,40,78,89.29,2.617,1
24,22,30,44.27,0.644,1
19,0,5,19.65,0.651,1
0,0,0,0.0,0.635,1
74,10,23,78.13,0.638,1
204,185,86,288.51,0.648,1
81,107,45,141.55,0.688,1
29,43,57,77.06,0.479,1
10,1,5,11.22,0.92,1
0,0,0,0.0,0.715,1
18,19,0,26.17,1.392,1
16,19,0,24.84,0.563,1
10,0,0,10.0,0.786,1
0,0,0,0.0,0.648,1
0,0,0,0.0,0.653,1
5,26,0,26.48,0.672,1
8,40,0,40.79,0.728,1
0,38,0,38.0,0.73,1
48,63,64,101.83,0.773,1
20,64,38,77.07,0.788,1
12,26,11,30.68,0.786,1
0,0,0,0.0,0.759,1
0,0,0,0.0,0.71,1
0,0,0,0.0,0.68,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.389,1
28,11,12,32.39,0.303,1
8,7,5,11.75,0.699,1
26,73,44,89.11,0.796,1
214,199,125,317.84,0.728,1
43,125,28,135.12,0.607,1
85,110,56,149.87,0.612,1
80,158,87,197.31,0.771,1
105,70,43,133.32,0.623,1
105,47,22,117.12,0.609,1
60,115,81,152.92,0.595,1
41,38,9,56.62,0.617,1
0,39,15,41.79,0.69,1
0,0,0,0.0,0.805,1
0,0,0,0.0,0.962,1
6,0,5,7.81,1.126,1
6,0,0,6.0,1.062,1
9,1,1,9.11,1.012,1
94,89,124,179.26,0.922,1
95,90,118,176.21,0.772,1
0,2,45,45.04,0.737,1
0,2,11,11.18,0.702,1
0,0,0,0.0,0.573,1
0,0,0,0.0,0.303,1
17,42,18,48.75,0.525,1
60,32,27,73.16,0.707,1
26,0,2,26.08,0.714,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.737,1
86,0,92,125.94,0.726,1
126,4,138,186.91,0.695,1
0,0,0,0.0,0.705,1
0,0,0,0.0,0.723,1
0,0,0,0.0,0.751,1
0,0,0,0.0,0.726,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.712,1
0,0,0,0.0,0.698,1
0,0,0,0.0,0.613,1
0,0,0,0.0,0.684,1
75,69,72,124.78,0.687,1
86,110,40,145.24,0.71,1
0,77,26,81.27,0.72,1
0,19,0,19.0,0.707,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.753,1
0,0,0,0.0,0.79,1
0,0,0,0.0,0.793,1
0,0,0,0.0,0.769,1
0,0,0,0.0,0.77,1
0,0,0,0.0,0.756,1
0,0,0,0.0,0.763,1
0,0,0,0.0,0.746,1
0,0,0,0.0,0.717,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.666,1
0,0,0,0.0,0.667,1
5,0,0,5.0,0.697,1
6,0,0,6.0,0.777,1
0,0,0,0.0,0.825,1
0,0,0,0.0,0.819,1
14,0,0,14.0,0.759,1
0,0,0,0.0,0.721,1
0,0,0,0.0,0.678,1
33,0,0,33.0,0.681,1
42,0,0,42.0,0.658,1
55,18,5,58.09,0.662,1
77,28,27,86.27,0.648,1
19,1,2,19.13,0.662,1
2,0,0,2.0,0.654,1
11,0,0,11.0,0.655,1
0,0,0,0.0,0.681,1
0,0,0,0.0,0.762,1
0,0,0,0.0,0.94,1
0,0,0,0.0,0.424,1
0,0,0,0.0,0.683,1
0,0,0,0.0,0.718,1
0,0,0,0.0,0.829,1
0,0,0,0.0,0.871,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.699,1
0,0,0,0.0,0.683,1
0,0,15,15.0,0.711,1
0,6,0,6.0,0.736,1
0,0,0,0.0,0.765,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.866,1
0,0,0,0.0,0.881,1
21,3,26,33.56,0.798,1
0,0,0,0.0,0.768,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.751,1
0,0,0,0.0,0.805,1
0,0,0,0.0,0.803,1
0,0,0,0.0,0.774,1
0,0,0,0.0,0.759,1
0,0,0,0.0,0.761,1
0,0,0,0.0,0.81,1
0,0,0,0.0,0.85,1
0,0,0,0.0,0.841,1
0,0,0,0.0,0.788,1
0,0,0,0.0,0.728,1
0,0,0,0.0,0.703,1
0,0,0,0.0,0.713,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.956,1
0,0,0,0.0,0.724,1
0,0,0,0.0,0.733,1
0,0,0,0.0,0.775,1
8,0,0,8.0,0.898,1
44,0,19,47.93,0.932,1
198,110,137,264.71,0.864,1
109,58,21,125.24,0.786,1
38,14,52,65.91,0.747,1
0,0,10,10.0,0.74,1
0,0,0,0.0,0.765,1
2,6,32,32.62,0.811,1
0,0,0,0.0,0.931,1
30,17,25,42.59,0.829,1
92,2,120,151.22,0.814,1
48,6,60,77.07,0.829,1
44,72,42,94.25,0.881,1
18,17,0,24.76,0.888,1
0,0,0,0.0,0.836,1
0,0,0,0.0,0.847,1
9,4,1,9.9,0.869,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.823,1
0,0,0,0.0,0.756,1
0,0,0,0.0,0.697,1
1,0,0,1.0,0.672,1
8,0,0,8.0,0.661,1
0,0,0,0.0,0.677,1
0,0,0,0.0,0.707,1
0,0,0,0.0,0.813,1
0,0,0,0.0,0.858,1
0,0,0,0.0,0.868,1
0,0,0,0.0,0.853,1
0,0,0,0.0,0.814,1
0,0,0,0.0,0.755,1
0,0,0,0.0,0.738,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.779,1
0,0,0,0.0,0.827,1
0,0,0,0.0,0.941,1
0,0,0,0.0,0.874,1
0,0,0,0.0,0.834,1
0,0,0,0.0,0.818,1
0,0,0,0.0,0.823,1
0,0,0,0.0,0.847,1
0,0,0,0.0,0.835,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.789,1
0,0,0,0.0,0.787,1
0,0,0,0.0,0.81,1
0,0,0,0.0,0.779,1
0,0,0,0.0,0.779,1
0,0,0,0.0,0.802,1
0,0,0,0.0,0.814,1
0,0,0,0.0,0.863,1
0,0,0,0.0,0.837,1
0,0,0,0.0,0.799,1
69,0,8,69.46,0.754,1
111,0,9,111.36,0.759,1
4,0,0,4.0,0.767,1
0,0,0,0.0,0.816,1
0,0,0,0.0,0.806,1
0,0,0,0.0,0.854,1
0,0,0,0.0,0.797,1
0,0,0,0.0,0.78,1
0,0,0,0.0,0.797,1
30,0,0,30.0,0.752,1
0,0,0,0.0,0.726,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.737,1
0,0,0,0.0,0.785,1
0,0,0,0.0,0.811,1
0,0,0,0.0,0.787,1
3,0,0,3.0,0.785,1
0,0,0,0.0,0.825,1
0,0,0,0.0,0.88,1
4,0,0,4.0,0.894,1
21,0,0,21.0,0.85,1
6,0,0,6.0,0.778,1
