Axis1,Axis2,Axis3,Vector Magnitude,RR,label
38,1,95,102.32,21.698,1
15,11,36,40.52,0.273,1
21,17,63,68.55,0.407,1
39,0,48,61.85,0.923,1
28,0,22,35.61,0.915,1
39,0,22,44.78,0.929,1
19,1,18,26.19,0.907,1
33,12,33,48.19,0.877,1
16,88,91,127.6,0.87,1
35,66,141,159.57,0.89,1
4,1,9,9.9,0.922,1
0,0,54,54.0,0.921,1
0,0,10,10.0,0.939,1
0,2,39,39.05,0.962,1
14,28,84,89.64,0.938,1
144,53,47,160.48,0.945,1
57,30,27,69.84,0.945,1
13,38,0,40.16,0.888,1
39,4,7,39.82,0.891,1
127,26,92,158.96,0.884,1
85,0,190,208.15,0.869,1
57,27,102,119.92,0.827,1
30,15,45,56.12,0.829,1
19,0,81,83.2,0.854,1
11,0,52,53.15,0.87,1
26,56,15,63.54,0.887,1
10,19,45,49.86,0.871,1
15,68,121,139.61,0.905,1
91,86,87,152.47,0.915,1
46,234,270,360.24,0.939,1
33,58,84,107.28,0.921,1
249,62,111,279.58,0.921,1
103,178,81,221.03,0.878,1
124,185,81,236.99,0.882,1
38,119,28,128.02,0.916,1
1,32,9,33.26,0.933,1
72,204,184,284.0,0.937,1
4,78,70,104.88,0.938,1
0,13,85,85.99,0.976,1
18,17,97,100.11,0.95,1
11,0,39,40.52,0.913,1
0,9,32,33.24,0.876,1
1,0,73,73.01,0.837,1
0,0,4,4.0,0.866,1
0,0,0,0.0,0.904,1
0,0,0,0.0,0.945,1
12,81,112,138.74,0.927,1
63,51,42,91.29,0.953,1
24,41,65,80.51,0.901,1
130,108,41,173.91,0.828,1
101,136,47,175.8,0.817,1
38,30,72,86.76,0.79,1
113,306,90,338.39,0.753,1
87,171,70,204.23,0.745,1
106,303,117,341.66,0.78,1
26,68,80,108.17,0.824,1
98,90,229,264.85,0.919,1
153,117,130,232.37,0.988,1
236,47,148,282.5,0.973,1
53,66,147,169.63,0.945,1
231,125,115,286.72,0.891,1
265,247,122,382.25,0.914,1
182,197,214,343.12,0.955,1
126,157,118,233.34,0.982,1
96,167,82,209.35,0.994,1
19,129,50,139.65,0.978,1
108,161,74,207.51,0.91,1
13,123,138,185.32,0.883,1
10,83,73,110.99,0.873,1
19,31,46,58.63,0.888,1
98,75,134,182.17,0.899,1
15,46,36,60.31,0.906,1
36,30,26,53.59,0.881,1
168,182,167,298.73,0.896,1
45,236,134,275.09,0.885,1
36,0,0,36.0,0.891,1
49,78,104,138.93,0.868,1
153,33,76,173.99,0.879,1
96,0,97,136.47,0.881,1
180,40,50,191.05,0.847,1
111,131,59,181.56,0.816,1
105,120,93,184.59,0.772,1
118,99,142,209.5,0.719,1
34,49,62,86.03,0.71,1
33,32,24,51.86,0.734,1
55,10,0,55.9,0.747,1
96,8,148,176.59,0.791,1
15,24,205,206.94,0.839,1
18,17,103,105.93,0.852,1
65,6,132,147.26,0.874,1
115,0,122,167.66,0.884,1
53,0,86,101.02,0.933,1
13,0,24,27.29,0.946,1
19,0,0,19.0,0.957,1
0,0,0,0.0,0.982,1
0,0,0,0.0,0.965,1
0,0,0,0.0,0.934,1
13,0,0,13.0,0.879,1
59,0,6,59.3,0.831,1
13,0,0,13.0,0.78,1
4,0,0,4.0,0.796,1
9,0,0,9.0,0.846,1
8,0,0,8.0,0.856,1
2,0,0,2.0,0.846,1
0,0,0,0.0,0.86,1
11,0,0,11.0,0.841,1
16,0,0,16.0,0.849,1
0,3,0,3.0,0.833,1
42,81,16,92.63,0.822,1
82,94,260,288.37,0.797,1
122,59,202,243.25,0.755,1
22,7,225,226.18,0.727,1
9,0,166,166.24,0.758,1
0,34,27,43.42,0.836,1
71,92,67,134.14,0.9,1
139,103,217,277.52,1.0,1
73,160,92,198.48,0.968,1
122,161,75,215.48,0.896,1
132,65,138,201.73,0.859,1
9,36,43,56.8,0.817,1
47,61,74,106.8,0.802,1
144,176,44,231.62,0.823,1
139,108,20,177.16,0.866,1
109,182,68,222.78,0.903,1
1,43,53,68.26,0.936,1
59,38,44,82.83,0.949,1
0,0,0,0.0,0.895,1
4,0,4,5.66,0.854,1
88,19,19,92.01,0.821,1
169,53,16,177.84,0.816,1
81,10,7,81.91,0.782,1
0,0,0,0.0,0.739,1
0,0,0,0.0,0.836,1
0,0,0,0.0,0.925,1
0,0,0,0.0,0.953,1
0,0,0,0.0,0.965,1
0,0,0,0.0,0.958,1
0,0,0,0.0,0.917,1
0,0,0,0.0,0.845,1
0,0,0,0.0,0.793,1
0,0,0,0.0,0.796,1
0,0,0,0.0,0.845,1
0,0,0,0.0,0.907,1
0,0,0,0.0,0.931,1
0,0,0,0.0,0.899,1
0,0,0,0.0,0.9,1
0,0,0,0.0,0.882,1
0,0,0,0.0,0.89,1
0,0,0,0.0,0.884,1
0,0,0,0.0,0.836,1
0,0,0,0.0,0.806,1
0,0,0,0.0,0.804,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.85,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.819,1
0,0,0,0.0,0.854,1
0,0,0,0.0,0.857,1
0,0,0,0.0,0.88,1
0,0,0,0.0,0.866,1
0,0,0,0.0,0.912,1
0,0,0,0.0,0.987,1
0,0,0,0.0,0.992,1
0,0,0,0.0,0.985,1
0,0,0,0.0,0.972,1
0,0,0,0.0,0.931,1
0,0,0,0.0,0.856,1
0,0,0,0.0,0.823,1
0,0,0,0.0,0.805,1
0,0,0,0.0,0.839,1
0,0,0,0.0,0.898,1
0,0,0,0.0,0.877,1
0,0,0,0.0,0.883,1
0,0,0,0.0,0.878,1
0,0,0,0.0,0.866,1
0,0,0,0.0,0.879,1
0,0,0,0.0,0.834,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.763,1
0,0,0,0.0,0.773,1
0,0,0,0.0,0.767,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.751,1
0,0,0,0.0,0.737,1
0,0,0,0.0,0.735,1
0,0,0,0.0,0.72,1
0,0,0,0.0,0.697,1
0,0,0,0.0,0.685,1
0,0,0,0.0,0.665,1
0,0,0,0.0,0.646,1
0,0,0,0.0,0.633,1
0,0,0,0.0,0.623,1
0,0,0,0.0,0.603,1
0,0,0,0.0,0.6,1
0,0,0,0.0,0.595,1
0,0,0,0.0,0.604,1
0,0,0,0.0,0.633,1
0,0,0,0.0,0.636,1
0,0,0,0.0,0.634,1
0,0,0,0.0,0.635,1
0,0,0,0.0,0.634,1
0,0,0,0.0,0.669,1
0,0,0,0.0,0.703,1
0,0,0,0.0,0.742,1
0,0,0,0.0,0.758,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.762,1
0,0,0,0.0,0.781,1
0,0,0,0.0,0.665,1
0,0,0,0.0,0.672,1
0,0,0,0.0,0.649,1
7,0,5,8.6,0.675,1
81,0,68,105.76,0.672,1
15,0,9,17.49,0.655,1
0,0,0,0.0,0.678,1
0,0,0,0.0,0.7,1
52,0,0,52.0,0.683,1
31,0,0,31.0,0.658,1
34,0,0,34.0,0.672,1
41,0,36,54.56,0.678,1
66,0,120,136.95,0.735,1
63,0,80,101.83,0.763,1
19,0,4,19.42,0.757,1
0,0,0,0.0,0.678,1
0,0,0,0.0,0.686,1
0,0,0,0.0,0.676,1
0,0,0,0.0,0.679,1
0,0,0,0.0,0.697,1
0,0,0,0.0,0.676,1
5,0,0,5.0,0.688,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.749,1
0,0,0,0.0,0.774,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.691,1
0,0,0,0.0,0.694,1
39,21,20,48.6,0.691,1
46,30,27,61.2,0.697,1
0,0,0,0.0,0.668,1
0,0,0,0.0,0.652,1
0,0,0,0.0,0.651,1
0,0,0,0.0,0.67,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.68,1
0,0,0,0.0,0.683,1
0,0,0,0.0,0.701,1
0,0,0,0.0,0.746,1
0,0,0,0.0,0.751,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.697,1
0,0,0,0.0,0.695,1
0,0,0,0.0,0.697,1
0,0,0,0.0,0.663,1
0,0,0,0.0,0.668,1
0,0,0,0.0,0.66,1
0,0,0,0.0,0.692,1
0,0,0,0.0,0.684,1
0,0,0,0.0,0.666,1
0,0,0,0.0,0.641,1
0,0,0,0.0,0.624,1
78,84,104,154.78,0.625,1
20,57,43,74.15,0.64,1
0,54,51,74.28,0.664,1
0,6,21,21.84,0.685,1
0,0,0,0.0,0.66,1
0,0,0,0.0,0.664,1
0,0,0,0.0,0.671,1
0,0,0,0.0,0.696,1
0,0,0,0.0,0.731,1
0,0,0,0.0,0.694,1
0,0,0,0.0,0.721,1
