Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.798,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.77,1
0,0,0,0.0,0.749,1
0,0,0,0.0,0.738,1
0,0,0,0.0,0.713,1
0,0,0,0.0,0.742,1
0,0,0,0.0,0.743,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.762,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.73,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.779,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.8,1
0,0,0,0.0,0.801,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.824,1
0,0,0,0.0,0.827,1
0,0,0,0.0,0.838,1
0,0,0,0.0,0.814,1
0,0,0,0.0,0.784,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.744,1
0,0,0,0.0,0.767,1
0,0,0,0.0,0.769,1
12,1,0,12.04,0.761,1
92,36,59,115.07,0.742,1
8,0,19,20.62,0.734,1
10,2,0,10.2,0.743,1
46,94,122,160.74,0.743,1
1,14,41,43.34,0.755,1
161,176,166,290.61,0.745,1
54,53,38,84.67,0.745,1
41,34,0,53.26,0.762,1
0,0,0,0.0,0.77,1
0,0,0,0.0,0.783,1
0,0,0,0.0,0.8,1
0,0,0,0.0,0.792,1
0,0,0,0.0,0.786,1
0,0,0,0.0,0.753,1
13,1,14,19.13,0.763,1
38,98,25,108.04,0.761,1
64,12,214,223.69,0.773,1
34,79,154,176.39,0.813,1
42,62,85,113.28,0.791,1
101,100,33,145.91,0.854,1
23,76,3,79.46,0.892,1
9,24,8,26.85,0.906,1
5,0,78,78.16,0.86,1
36,0,99,105.34,0.879,1
96,54,134,173.46,0.802,1
108,102,113,186.65,0.823,1
87,188,216,299.28,0.833,1
75,132,81,172.08,0.863,1
0,0,0,0.0,0.837,1
0,0,0,0.0,0.865,1
0,0,0,0.0,0.871,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.855,1
0,0,0,0.0,0.817,1
0,0,0,0.0,0.825,1
4,0,36,36.22,0.82,1
0,0,26,26.0,0.836,1
0,0,4,4.0,0.846,1
9,0,22,23.77,0.815,1
0,0,0,0.0,0.852,1
0,5,35,35.36,0.874,1
57,21,56,82.62,0.889,1
40,7,77,87.05,0.859,1
15,48,34,60.7,0.845,1
17,0,17,24.04,0.84,1
0,0,0,0.0,0.826,1
0,0,0,0.0,0.813,1
0,0,0,0.0,0.776,1
0,0,0,0.0,0.799,1
0,0,0,0.0,0.806,1
0,0,0,0.0,0.816,1
0,0,0,0.0,0.842,1
0,0,0,0.0,0.806,1
0,0,0,0.0,0.83,1
0,0,0,0.0,0.821,1
0,0,0,0.0,0.746,1
0,0,0,0.0,0.723,1
0,0,0,0.0,0.723,1
0,0,0,0.0,0.719,1
0,0,0,0.0,0.719,1
0,0,0,0.0,0.72,1
0,0,0,0.0,0.713,1
0,0,0,0.0,0.714,1
0,0,0,0.0,0.725,1
0,0,0,0.0,0.73,1
0,0,0,0.0,0.737,1
0,0,0,0.0,0.745,1
0,0,0,0.0,0.769,1
0,0,0,0.0,0.781,1
0,0,0,0.0,0.797,1
0,0,0,0.0,0.81,1
0,0,0,0.0,0.807,1
0,0,0,0.0,0.831,1
0,0,0,0.0,0.833,1
0,0,0,0.0,0.851,1
0,0,0,0.0,0.839,1
0,0,0,0.0,0.822,1
0,0,0,0.0,0.79,1
0,0,0,0.0,0.794,1
23,23,6,33.08,0.782,1
55,48,24,76.84,0.779,1
75,0,100,125.0,0.762,1
142,18,231,271.75,0.786,1
43,30,57,77.45,0.829,1
29,56,53,82.38,0.838,1
49,27,0,55.95,0.827,1
16,12,1,20.02,0.833,1
0,0,0,0.0,0.793,1
0,0,0,0.0,0.801,1
0,0,0,0.0,0.296,1
0,0,0,0.0,0.522,1
0,0,0,0.0,0.375,1
0,0,0,0.0,1.705,1
0,0,0,0.0,0.392,1
0,0,0,0.0,0.39,1
0,0,0,0.0,0.656,1
0,0,0,0.0,0.308,1
0,0,0,0.0,0.408,1
0,0,0,0.0,0.826,1
0,0,0,0.0,0.277,1
0,0,0,0.0,0.29,1
1,0,2,2.24,0.313,1
90,123,154,216.67,0.28,1
12,33,105,110.72,13.756,1
27,40,9,49.09,0.602,1
0,0,0,0.0,0.324,1
0,0,0,0.0,0.285,1
0,0,0,0.0,0.368,1
0,0,0,0.0,0.434,1
3,11,0,11.4,0.34,1
70,111,98,163.78,0.313,1
33,68,40,85.52,0.431,1
19,6,10,22.29,0.254,1
0,0,0,0.0,0.257,1
0,0,0,0.0,0.257,1
0,0,0,0.0,0.371,1
6,0,10,11.66,0.337,1
0,0,0,0.0,0.358,1
23,0,11,25.5,0.263,1
0,0,0,0.0,9.572,1
0,0,0,0.0,1.455,1
0,0,0,0.0,3.11,1
0,0,0,0.0,0.599,1
0,0,0,0.0,0.588,1
0,0,0,0.0,0.563,1
0,0,0,0.0,2.317,1
0,0,0,0.0,0.484,1
0,0,0,0.0,0.659,1
0,0,0,0.0,0.251,1
0,0,0,0.0,0.912,1
0,0,0,0.0,0.563,1
0,0,0,0.0,1.14,1
0,0,0,0.0,0.571,1
0,0,0,0.0,0.533,1
0,0,0,0.0,0.288,1
0,0,0,0.0,0.343,1
0,0,0,0.0,0.759,1
0,0,0,0.0,0.441,1
21,61,3,64.58,0.291,1
11,56,31,64.95,1.831,1
0,53,0,53.0,2.224,1
0,9,0,9.0,2.235,1
0,0,0,0.0,0.622,1
0,0,0,0.0,2.063,1
22,32,78,87.13,0.315,1
0,45,71,84.06,0.333,1
3,0,9,9.49,2.542,1
26,27,4,37.7,0.563,1
65,8,61,89.5,0.265,1
122,10,269,295.54,0.383,1
80,14,83,116.12,0.644,1
0,0,3,3.0,0.276,1
8,0,10,12.81,0.346,1
0,0,0,0.0,0.266,1
0,0,0,0.0,0.379,1
0,0,0,0.0,0.656,1
0,0,8,8.0,0.658,1
0,0,0,0.0,0.662,1
20,0,19,27.59,0.367,1
58,0,60,83.45,0.289,1
15,0,20,25.0,0.655,1
38,0,33,50.33,0.647,1
17,0,13,21.4,0.649,1
4,0,2,4.47,0.644,1
0,0,0,0.0,0.304,1
0,0,0,0.0,0.338,1
0,0,0,0.0,0.559,1
0,0,0,0.0,0.535,1
12,3,9,15.3,0.265,1
0,0,0,0.0,0.529,1
0,0,0,0.0,0.621,1
0,0,0,0.0,0.62,1
0,0,0,0.0,0.62,1
0,0,0,0.0,0.277,1
0,0,0,0.0,0.506,1
0,0,0,0.0,0.461,1
0,0,0,0.0,0.865,1
0,0,0,0.0,0.825,1
0,0,0,0.0,0.847,1
33,49,14,60.71,0.825,1
71,82,13,109.24,0.837,1
53,51,0,73.55,0.866,1
13,10,0,16.4,0.845,1
0,0,0,0.0,0.896,1
0,0,0,0.0,0.919,1
0,0,0,0.0,0.943,1
0,0,0,0.0,0.945,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.892,1
0,0,0,0.0,0.88,1
0,0,0,0.0,0.851,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.822,1
0,0,0,0.0,0.817,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.805,1
79,77,10,110.77,0.838,1
0,0,0,0.0,0.845,1
0,0,0,0.0,0.857,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.87,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.823,1
0,0,0,0.0,0.789,1
0,0,0,0.0,0.81,1
0,0,0,0.0,0.794,1
0,0,0,0.0,0.857,1
0,0,0,0.0,0.825,1
0,0,0,0.0,0.839,1
0,0,0,0.0,0.827,1
0,0,0,0.0,0.841,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.818,1
0,0,0,0.0,0.839,1
0,0,0,0.0,0.83,1
0,0,0,0.0,0.836,1
0,0,0,0.0,0.845,1
0,0,0,0.0,0.826,1
0,0,0,0.0,0.865,1
0,0,0,0.0,0.875,1
0,0,0,0.0,0.866,1
0,0,0,0.0,0.859,1
0,0,78,78.0,0.881,1
0,0,49,49.0,0.883,1
0,0,0,0.0,0.85,1
0,0,0,0.0,0.823,1
0,0,0,0.0,0.851,1
0,0,0,0.0,0.851,1
0,0,0,0.0,0.87,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.87,1
0,0,0,0.0,0.856,1
0,0,0,0.0,0.871,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.86,1
0,0,0,0.0,0.838,1
0,0,0,0.0,0.822,1
0,0,0,0.0,0.786,1
0,0,0,0.0,0.767,1
0,0,0,0.0,0.797,1
0,0,0,0.0,0.798,1
0,0,0,0.0,0.832,1
0,0,0,0.0,0.814,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.834,1
0,0,0,0.0,0.827,1
0,0,0,0.0,0.815,1
0,0,0,0.0,0.781,1
0,0,0,0.0,0.798,1
0,0,0,0.0,0.758,1
0,0,0,0.0,0.777,1
37,36,36,62.94,0.777,1
65,4,56,85.89,0.774,1
112,7,274,296.09,0.785,1
92,29,129,161.08,0.813,1
155,69,227,283.4,0.847,1
57,0,99,114.24,0.853,1
56,5,24,61.13,0.849,1
117,6,223,251.9,0.823,1
52,6,222,228.09,0.849,1
134,152,129,240.21,0.833,1
21,62,2,65.49,0.819,1
127,177,72,229.44,0.814,1
92,94,129,184.23,0.795,1
35,50,21,64.54,0.806,1
0,5,1,5.1,0.813,1
0,0,0,0.0,0.816,1
