Axis1,Axis2,Axis3,Vector Magnitude,RR,label
190,87,144,253.78,0.829,1
41,149,108,188.54,0.774,1
19,176,54,185.08,0.779,1
189,261,150,355.45,0.8,1
185,371,109,428.66,0.843,1
315,212,82,388.45,0.784,1
99,159,84,205.28,0.755,1
23,273,30,275.6,0.765,1
25,103,53,118.5,0.808,1
29,153,81,175.53,0.847,1
27,149,36,155.65,0.901,1
136,41,76,161.1,0.859,1
132,191,197,304.49,0.811,1
131,39,151,203.67,0.813,1
116,97,116,190.58,0.848,1
30,82,121,149.21,0.891,1
23,20,59,66.41,0.954,1
0,4,19,19.42,0.921,1
0,8,12,14.42,0.851,1
33,70,54,94.37,0.861,1
7,60,87,105.92,0.873,1
10,31,44,54.74,0.88,1
35,44,58,80.78,0.869,1
42,40,21,61.68,0.83,1
48,78,33,97.35,0.809,1
43,41,64,87.33,0.844,1
7,109,97,146.08,0.889,1
14,21,48,54.23,0.91,1
60,133,52,154.9,0.869,1
82,18,70,109.31,0.839,1
88,154,53,185.12,0.822,1
158,203,46,261.32,0.752,1
62,87,95,142.96,0.787,1
128,128,122,218.29,0.935,1
26,0,62,67.23,1.023,1
38,32,11,50.88,0.992,1
7,20,162,163.38,0.874,1
99,52,117,161.85,0.798,1
28,71,96,122.64,0.802,1
52,1,42,66.85,0.849,1
2,47,54,71.62,0.904,1
81,69,127,165.68,0.93,1
116,121,92,191.21,0.855,1
63,146,104,190.0,0.855,1
4,49,24,54.71,0.878,1
22,44,18,52.38,0.911,1
0,0,0,0.0,0.932,1
0,3,0,3.0,0.892,1
19,27,0,33.02,0.842,1
24,14,0,27.78,0.866,1
0,0,0,0.0,0.881,1
95,81,163,205.32,0.902,1
96,146,236,293.65,0.946,1
107,60,151,194.55,0.917,1
224,428,196,521.32,0.837,1
131,190,203,307.36,0.784,1
51,48,30,76.19,0.78,1
73,21,44,87.78,0.776,1
71,145,140,213.7,0.823,1
160,173,319,396.6,0.879,1
86,180,180,268.69,0.826,1
107,144,414,451.2,0.78,1
261,379,178,493.4,0.762,1
347,250,134,448.18,0.741,1
46,6,48,66.75,0.751,1
119,154,86,212.77,0.252,1
193,395,124,456.78,0.572,1
212,276,161,383.46,0.502,1
37,52,68,93.26,0.345,1
19,58,72,94.39,0.811,1
24,93,90,131.62,0.762,1
76,168,95,207.42,0.784,1
57,78,79,124.8,0.91,1
45,154,51,168.35,1.062,1
103,79,36,134.71,0.677,1
31,47,29,63.33,0.418,1
99,117,52,161.85,1.064,1
25,16,26,39.46,1.021,1
68,139,48,162.02,0.99,1
69,12,38,79.68,0.935,1
169,58,81,196.18,0.91,1
232,321,305,499.89,0.916,1
127,323,43,349.72,0.931,1
57,42,32,77.7,0.932,1
22,24,54,63.06,0.981,1
24,17,38,48.05,0.92,1
38,85,61,111.31,0.874,1
288,154,111,344.94,0.878,1
41,178,136,227.73,0.92,1
233,244,166,376.01,0.954,1
57,42,40,81.32,0.995,1
54,1,43,69.04,1.0,1
0,0,0,0.0,0.683,1
0,0,0,0.0,0.676,1
0,6,0,6.0,0.662,1
8,48,0,48.66,0.66,1
0,39,1,39.01,0.666,1
45,16,33,58.05,0.682,1
136,102,61,180.61,0.735,1
149,88,224,283.06,0.758,1
167,70,276,330.1,0.748,1
112,7,72,133.33,0.775,1
124,15,220,252.98,0.766,1
21,38,56,70.86,0.754,1
13,41,32,53.61,0.728,1
103,17,107,149.49,0.701,1
151,5,10,151.41,0.691,1
87,0,3,87.05,0.67,1
108,0,21,110.02,0.65,1
166,69,389,428.53,0.636,1
32,47,57,80.51,0.631,1
6,18,0,18.97,0.632,1
9,0,7,11.4,0.661,1
231,185,93,310.22,0.737,1
50,60,65,101.61,0.773,1
216,231,110,334.84,0.776,1
100,41,0,108.08,0.827,1
39,66,2,76.69,0.872,1
