Axis1,Axis2,Axis3,Vector Magnitude,RR,label
37,23,49,65.57,0.703,1
3,24,94,97.06,0.723,1
30,4,120,123.76,0.686,1
33,6,113,117.87,0.691,1
14,1,80,81.22,0.703,1
33,13,127,131.86,0.704,1
6,2,82,82.24,0.73,1
36,18,145,150.48,0.742,1
29,4,86,90.85,0.724,1
0,0,65,65.0,0.739,1
51,35,115,130.58,0.767,1
47,105,75,137.33,0.783,1
20,12,72,75.68,0.811,1
29,10,94,98.88,0.814,1
6,4,48,48.54,0.762,1
9,24,9,27.17,0.783,1
24,14,42,50.36,0.781,1
6,5,19,20.54,0.789,1
12,13,32,36.57,0.777,1
10,7,16,20.12,0.752,1
8,14,33,36.73,0.756,1
40,62,69,101.02,0.771,1
29,10,98,102.69,0.8,1
49,8,68,84.2,0.804,1
24,4,18,30.27,0.795,1
91,32,76,122.8,0.83,1
194,66,153,255.74,0.866,1
10,57,17,60.32,0.879,1
34,119,36,128.89,0.811,1
49,48,37,77.94,0.811,1
55,5,47,72.52,0.807,1
8,6,7,12.21,0.778,1
85,13,10,86.57,0.741,1
38,8,6,39.29,0.729,1
33,0,0,33.0,0.847,1
8,0,0,8.0,0.789,1
0,0,0,0.0,0.845,1
0,0,0,0.0,0.847,1
0,0,0,0.0,0.811,1
0,0,0,0.0,0.807,1
0,0,0,0.0,0.835,1
0,0,0,0.0,0.846,1
0,0,0,0.0,0.84,1
0,0,0,0.0,0.808,1
7,30,3,30.95,0.854,1
5,25,3,25.67,0.87,1
62,13,23,67.39,0.819,1
61,69,228,245.9,0.842,1
46,53,144,160.19,0.8,1
51,40,104,122.54,0.823,1
68,53,40,95.04,0.908,1
42,46,44,76.26,0.928,1
92,81,85,149.16,0.873,1
38,89,26,100.2,0.96,1
26,15,37,47.64,0.963,1
27,23,16,38.91,0.888,1
47,54,153,168.92,0.872,1
83,91,66,139.74,0.903,1
111,85,102,173.06,0.869,1
61,59,128,153.58,0.854,1
83,82,73,137.63,0.912,1
110,51,154,196.0,0.907,1
130,172,62,224.34,0.885,1
61,17,48,79.46,0.843,1
11,68,21,72.01,0.809,1
13,36,10,39.56,0.848,1
41,2,25,48.06,0.846,1
73,18,135,154.53,0.813,1
116,7,128,172.88,0.804,1
11,1,1,11.09,0.814,1
6,2,10,11.83,0.834,1
4,8,16,18.33,0.836,1
0,0,0,0.0,0.813,1
3,1,1,3.32,0.859,1
0,0,0,0.0,0.855,1
0,0,0,0.0,0.786,1
64,103,9,121.6,0.76,1
19,115,33,121.14,0.765,1
15,87,0,88.28,0.788,1
4,22,0,22.36,0.768,1
0,0,0,0.0,0.808,1
0,0,0,0.0,0.84,1
0,6,3,6.71,0.864,1
26,20,30,44.45,0.833,1
1,0,0,1.0,0.879,1
2,0,1,2.24,0.927,1
0,0,0,0.0,0.94,1
0,0,0,0.0,0.946,1
0,0,0,0.0,0.946,1
0,0,0,0.0,0.893,1
0,0,0,0.0,0.838,1
0,0,0,0.0,0.887,1
0,0,0,0.0,0.945,1
0,0,0,0.0,0.909,1
0,0,0,0.0,0.889,1
0,0,0,0.0,0.887,1
0,0,0,0.0,0.945,1
0,0,0,0.0,1.021,1
0,0,0,0.0,1.024,1
0,0,0,0.0,0.984,1
0,0,0,0.0,1.004,1
0,0,0,0.0,1.005,1
0,0,0,0.0,0.952,1
23,7,5,24.56,0.903,1
70,206,77,230.79,0.969,1
20,87,10,89.83,1.031,1
4,101,18,102.67,0.998,1
122,224,187,316.27,0.955,1
0,0,0,0.0,1.037,1
0,0,0,0.0,1.051,1
0,0,0,0.0,0.967,1
0,0,0,0.0,0.99,1
0,0,0,0.0,1.037,1
0,0,0,0.0,1.067,1
0,0,0,0.0,0.975,1
0,0,0,0.0,0.947,1
0,0,0,0.0,1.021,1
0,0,0,0.0,1.062,1
0,0,0,0.0,0.979,1
0,0,0,0.0,0.956,1
0,0,0,0.0,0.998,1
0,0,0,0.0,0.897,1
0,0,0,0.0,0.884,1
0,0,0,0.0,0.962,1
14,5,5,15.68,0.989,1
87,127,35,157.87,0.965,1
0,38,32,49.68,0.919,1
0,50,1,50.01,0.973,1
3,22,1,22.23,1.047,1
27,119,70,140.68,1.036,1
13,49,22,55.26,0.965,1
3,30,5,30.56,1.062,1
0,6,4,7.21,1.062,1
0,0,0,0.0,1.084,1
0,0,0,0.0,0.992,1
75,42,80,117.43,1.024,1
67,44,27,84.58,1.066,1
55,26,30,67.83,1.084,1
