Axis1,Axis2,Axis3,Vector Magnitude,RR,label
14,0,58,59.67,3.895,1
0,0,19,19.0,0.256,1
64,116,50,141.61,0.271,1
10,208,133,247.09,0.292,1
36,56,78,102.55,0.269,1
42,39,81,99.23,0.284,1
17,14,139,140.73,0.928,1
0,5,78,78.16,0.385,1
0,0,9,9.0,2.204,1
0,6,14,15.23,0.296,1
53,6,40,66.67,0.271,1
31,35,52,69.93,2.979,1
39,10,18,44.1,0.303,1
12,9,2,15.13,0.763,1
15,1,19,24.23,0.341,1
88,61,24,109.73,0.331,1
125,22,246,276.81,0.543,1
79,35,98,130.65,7.663,1
17,0,78,79.83,0.761,1
71,78,70,126.59,0.757,1
18,73,99,124.31,0.738,1
8,0,32,32.98,0.6,1
0,0,20,20.0,0.671,1
184,31,128,226.28,0.571,1
60,0,48,76.84,0.688,1
173,24,132,218.93,0.762,1
175,43,115,213.77,0.807,1
74,24,36,85.72,0.791,1
33,12,32,47.51,0.78,1
4,2,17,17.58,0.729,1
0,20,18,26.91,0.301,1
7,60,5,60.61,0.517,1
48,64,109,135.21,0.838,1
76,0,74,106.08,0.754,1
72,0,71,101.12,0.68,1
15,0,10,18.03,0.654,1
0,0,0,0.0,0.321,1
0,0,0,0.0,0.307,1
0,0,0,0.0,0.58,1
0,0,0,0.0,0.575,1
16,0,0,16.0,0.729,1
215,76,103,250.22,0.503,1
93,0,36,99.72,0.495,1
223,58,167,284.57,3.399,1
44,0,38,58.14,0.785,1
24,0,12,26.83,0.801,1
0,0,0,0.0,0.792,1
0,0,0,0.0,0.803,1
0,0,0,0.0,0.786,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.747,1
0,0,0,0.0,1.16,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.859,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.853,1
0,0,0,0.0,0.894,1
0,0,0,0.0,0.907,1
0,0,0,0.0,0.844,1
0,0,0,0.0,0.808,1
0,0,0,0.0,0.78,1
0,0,0,0.0,0.886,1
0,0,0,0.0,0.862,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.914,1
0,0,0,0.0,0.905,1
0,0,0,0.0,0.835,1
0,0,0,0.0,0.807,1
37,1,0,37.01,0.79,1
176,49,93,205.0,0.733,1
111,13,27,114.97,0.678,1
51,8,3,51.71,0.673,1
22,0,16,27.2,0.613,1
8,0,38,38.83,0.603,1
19,117,98,153.8,0.629,1
56,77,131,161.94,0.765,1
61,21,149,162.37,0.531,1
180,46,111,216.42,1.039,1
283,37,172,333.23,0.914,1
59,8,45,74.63,0.813,1
43,4,43,60.94,0.708,1
6,34,56,65.79,0.684,1
184,38,136,231.94,0.727,1
210,35,136,252.63,0.735,1
81,24,142,165.23,0.726,1
65,55,75,113.47,0.737,1
0,61,21,64.51,0.696,1
183,87,190,277.77,0.651,1
81,44,68,114.55,0.65,1
182,82,205,286.13,0.625,1
57,35,118,135.64,0.614,1
65,2,129,144.46,0.571,1
0,0,11,11.0,0.563,1
15,3,13,20.07,0.566,1
20,12,169,170.6,0.6,1
44,0,207,211.62,0.668,1
16,0,30,34.0,0.644,1
9,0,18,20.12,0.611,1
61,32,0,68.88,0.592,1
46,0,0,46.0,0.601,1
25,0,0,25.0,0.638,1
0,0,0,0.0,0.689,1
0,0,0,0.0,0.691,1
0,0,0,0.0,0.644,1
22,12,0,25.06,0.616,1
145,5,217,261.03,0.63,1
30,0,226,227.98,0.657,1
72,38,94,124.35,0.679,1
0,25,4,25.32,0.612,1
0,2,0,2.0,0.786,1
0,0,2,2.0,0.719,1
46,95,134,170.58,0.602,1
0,21,102,104.14,0.707,1
0,0,24,24.0,0.622,1
0,0,0,0.0,0.607,1
0,0,0,0.0,0.591,1
0,0,0,0.0,0.6,1
0,0,0,0.0,0.629,1
0,0,0,0.0,0.333,1
0,0,0,0.0,0.288,1
0,0,0,0.0,0.843,1
35,152,57,166.07,0.79,1
25,24,36,49.97,0.844,1
0,53,0,53.0,0.831,1
0,0,0,0.0,0.879,1
13,61,79,100.65,0.829,1
23,57,153,164.88,0.691,1
186,62,104,221.94,0.661,1
175,12,86,195.36,0.83,1
164,45,179,246.9,0.699,1
125,220,103,273.19,0.737,1
8,91,13,92.27,0.713,1
0,31,1,31.02,0.685,1
6,7,9,12.88,0.689,1
5,0,0,5.0,0.722,1
0,0,0,0.0,0.707,1
0,0,0,0.0,0.789,1
17,18,26,35.9,0.746,1
0,0,0,0.0,0.78,1
0,0,0,0.0,0.927,1
0,0,1,1.0,0.897,1
3,0,25,25.18,0.791,1
7,17,19,26.44,0.683,1
2,22,6,22.89,0.679,1
61,63,107,138.34,0.895,1
132,108,127,212.64,0.886,1
238,62,110,269.42,0.771,1
51,99,77,135.39,0.81,1
51,63,28,85.76,0.898,1
5,8,0,9.43,0.966,1
0,80,43,90.82,0.868,1
0,1,0,1.0,0.852,1
0,0,0,0.0,0.967,1
0,0,0,0.0,0.911,1
0,0,0,0.0,0.872,1
0,0,0,0.0,0.83,1
0,0,0,0.0,0.861,1
0,0,0,0.0,0.861,1
0,0,0,0.0,0.772,1
0,0,0,0.0,0.729,1
0,0,0,0.0,0.624,1
0,0,0,0.0,0.658,1
5,35,5,35.71,0.674,1
2,53,7,53.5,0.687,1
0,0,0,0.0,0.664,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.703,1
0,0,0,0.0,0.26,1
0,0,0,0.0,0.471,1
0,0,0,0.0,0.576,1
0,0,0,0.0,0.785,1
0,0,0,0.0,0.668,1
0,0,0,0.0,0.654,1
0,0,0,0.0,0.614,1
0,0,0,0.0,0.585,1
0,0,0,0.0,0.623,1
0,0,0,0.0,0.681,1
0,0,0,0.0,0.829,1
0,0,0,0.0,0.841,1
26,184,74,200.02,0.764,1
49,75,27,93.57,0.862,1
13,96,0,96.88,0.675,1
126,228,80,272.51,0.728,1
58,87,39,111.6,0.828,1
0,82,0,82.0,0.796,1
0,18,0,18.0,0.768,1
0,0,0,0.0,0.812,1
0,0,0,0.0,0.76,1
0,0,0,0.0,0.672,1
0,0,0,0.0,0.669,1
0,0,0,0.0,0.635,1
0,0,0,0.0,0.612,1
0,0,0,0.0,0.644,1
0,0,0,0.0,0.607,1
0,0,0,0.0,0.604,1
0,0,0,0.0,0.616,1
0,0,0,0.0,0.666,1
0,0,0,0.0,0.647,1
0,0,0,0.0,0.72,1
0,0,0,0.0,0.789,1
0,29,11,31.02,0.795,1
0,23,13,26.42,0.797,1
0,0,0,0.0,0.717,1
0,0,0,0.0,0.646,1
23,62,139,153.93,0.654,1
60,7,151,162.63,0.668,1
82,15,122,147.76,0.688,1
3,41,154,159.39,0.676,1
0,0,33,33.0,0.688,1
51,14,149,158.11,0.725,1
0,0,41,41.0,0.82,1
0,0,28,28.0,0.776,1
0,0,0,0.0,0.771,1
0,0,0,0.0,0.791,1
0,0,0,0.0,0.809,1
2,0,0,2.0,0.798,1
0,0,0,0.0,0.781,1
0,0,0,0.0,0.72,1
0,0,0,0.0,0.924,1
0,0,0,0.0,0.838,1
0,0,0,0.0,0.873,1
0,0,0,0.0,0.698,1
0,0,0,0.0,0.712,1
0,0,0,0.0,0.75,1
0,0,0,0.0,0.666,1
0,0,0,0.0,0.878,1
0,0,0,0.0,0.858,1
0,0,0,0.0,0.888,1
