Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.258,1
11,4,7,13.64,0.319,1
0,21,10,23.26,0.266,1
0,1,24,24.02,0.401,1
34,14,63,72.95,1.089,1
101,10,90,135.65,0.752,1
17,18,49,54.9,0.337,1
0,34,23,41.05,0.933,1
12,50,13,53.04,0.731,1
32,38,36,61.35,0.454,1
63,72,156,183.0,0.278,1
89,60,88,138.8,0.407,1
69,54,204,222.02,0.346,1
19,77,144,164.4,0.307,1
27,33,122,129.24,0.256,1
13,1,46,47.81,0.338,1
0,0,0,0.0,0.329,1
39,10,0,40.26,0.253,1
67,0,62,91.29,0.425,1
0,3,32,32.14,0.268,1
0,0,20,20.0,0.272,1
15,20,48,54.12,0.303,1
59,23,143,156.39,27.759,1
27,67,146,162.89,1.358,1
23,51,62,83.51,3.174,1
9,24,41,48.35,0.455,1
18,40,46,63.56,1.528,1
13,31,59,67.9,0.526,1
17,34,106,112.61,0.577,1
78,180,115,227.4,0.933,1
34,124,190,229.42,0.356,1
89,267,307,416.48,0.455,1
51,87,435,446.54,0.341,1
81,152,143,223.86,0.682,1
88,45,203,225.78,0.314,1
86,73,166,200.7,0.356,1
231,265,182,395.87,0.371,1
221,199,312,431.03,0.537,1
138,166,141,257.84,1.259,1
53,30,72,94.3,0.405,1
32,41,61,80.16,0.324,1
5,21,23,31.54,0.324,1
2,0,5,5.39,1.087,1
166,250,260,397.06,0.473,1
133,355,209,432.89,2.971,1
15,22,63,68.4,1.518,1
123,39,69,146.32,5.567,1
68,36,67,102.02,0.548,1
216,171,171,324.25,0.358,1
114,113,43,166.17,0.73,1
20,33,41,56.3,0.547,1
102,157,72,200.59,0.541,1
206,196,228,364.47,0.539,1
79,27,49,96.8,0.544,1
23,5,34,41.35,0.559,1
25,0,6,25.71,0.551,1
2,6,4,7.48,0.532,1
69,29,32,81.4,0.547,1
83,6,25,86.89,0.558,1
108,75,33,135.57,0.592,1
133,266,114,318.5,0.631,1
98,59,77,137.89,0.288,1
26,65,46,83.77,0.394,1
67,11,87,110.36,0.409,1
204,218,184,350.71,0.286,1
66,305,93,325.62,0.658,1
32,39,90,103.17,0.637,1
0,0,0,0.0,0.452,1
0,0,0,0.0,0.822,1
0,0,0,0.0,0.604,1
25,11,12,29.83,0.604,1
130,27,209,247.61,0.618,1
120,15,220,251.05,0.606,1
25,12,24,36.67,0.597,1
23,0,25,33.97,0.617,1
35,0,39,52.4,0.648,1
12,12,32,36.22,0.658,1
25,8,82,86.1,0.659,1
121,182,175,279.98,0.603,1
118,129,157,234.98,0.398,1
34,0,69,76.92,0.372,1
106,3,53,118.55,0.696,1
21,0,22,30.41,0.662,1
15,4,94,95.27,0.659,1
108,19,208,235.14,0.662,1
48,16,49,70.43,0.667,1
61,17,91,110.86,0.684,1
74,0,129,148.72,0.692,1
42,0,74,85.09,0.675,1
2,0,69,69.03,0.668,1
0,1,14,14.04,0.652,1
0,16,0,16.0,0.641,1
0,7,4,8.06,0.646,1
17,19,19,31.8,0.642,1
11,0,0,11.0,0.669,1
0,0,0,0.0,0.669,1
0,0,0,0.0,0.271,1
3,0,0,3.0,0.403,1
1,0,0,1.0,0.712,1
56,9,5,56.94,0.72,1
32,0,0,32.0,0.643,1
0,0,0,0.0,0.706,1
8,0,0,8.0,0.731,1
0,0,0,0.0,0.715,1
0,0,0,0.0,0.715,1
0,0,0,0.0,0.709,1
0,0,0,0.0,0.668,1
0,0,0,0.0,0.659,1
0,0,0,0.0,0.648,1
0,0,0,0.0,0.634,1
0,0,0,0.0,0.623,1
0,0,0,0.0,0.608,1
0,0,0,0.0,0.604,1
0,0,0,0.0,0.587,1
0,0,0,0.0,0.574,1
0,0,0,0.0,0.574,1
0,0,0,0.0,0.598,1
0,0,0,0.0,0.607,1
43,0,0,43.0,0.604,1
45,0,10,46.1,0.609,1
17,0,0,17.0,0.625,1
122,188,122,255.17,0.635,1
107,188,106,240.89,0.621,1
201,33,288,352.75,0.653,1
82,15,51,97.72,0.691,1
149,156,199,293.49,0.575,1
76,60,75,122.48,0.763,1
23,70,21,76.62,0.635,1
17,28,77,83.68,0.634,1
43,76,139,164.15,0.664,1
22,116,102,156.03,0.689,1
92,72,90,147.47,0.75,1
59,59,90,122.73,0.765,1
52,18,79,96.28,0.727,1
38,50,234,242.28,0.71,1
16,32,119,124.26,0.695,1
43,260,69,272.42,0.692,1
67,125,80,162.83,0.659,1
83,141,203,260.73,0.677,1
161,51,33,172.08,0.672,1
99,139,76,186.81,0.654,1
52,96,56,122.7,0.658,1
48,112,17,123.03,0.651,1
68,55,31,92.79,0.641,1
84,12,17,86.54,0.66,1
40,2,1,40.06,0.685,1
118,0,27,121.05,0.703,1
2,0,0,2.0,0.672,1
2,0,0,2.0,0.645,1
14,14,118,119.65,0.65,1
11,41,28,50.85,0.661,1
27,55,96,113.89,0.704,1
147,81,173,241.04,0.734,1
107,149,240,302.08,0.727,1
10,42,77,88.28,0.693,1
71,260,127,297.94,0.697,1
46,99,49,119.66,0.683,1
0,59,19,61.98,0.666,1
0,1,0,1.0,0.65,1
14,4,9,17.12,0.653,1
94,79,51,132.96,0.662,1
54,82,62,116.12,0.684,1
8,84,67,107.75,0.718,1
0,68,62,92.02,0.71,1
0,8,0,8.0,0.707,1
0,0,0,0.0,0.72,1
0,0,0,0.0,0.726,1
0,0,0,0.0,0.727,1
0,0,0,0.0,0.698,1
0,0,0,0.0,0.676,1
0,58,9,58.69,0.691,1
0,14,0,14.0,0.702,1
37,57,30,74.28,0.735,1
43,51,68,95.26,0.724,1
48,23,0,53.23,0.706,1
0,0,0,0.0,0.699,1
0,0,0,0.0,0.705,1
0,0,0,0.0,0.703,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.651,1
0,0,0,0.0,0.644,1
0,0,0,0.0,0.651,1
0,0,0,0.0,0.664,1
0,0,0,0.0,0.688,1
0,0,0,0.0,0.692,1
0,0,0,0.0,0.681,1
0,0,0,0.0,0.662,1
0,0,0,0.0,0.643,1
0,0,0,0.0,0.632,1
0,0,0,0.0,0.619,1
0,0,0,0.0,0.608,1
0,0,0,0.0,0.605,1
0,0,0,0.0,0.622,1
30,0,0,30.0,0.654,1
79,110,34,139.63,0.66,1
51,41,0,65.44,0.638,1
18,13,0,22.2,0.647,1
0,0,0,0.0,0.647,1
9,0,24,25.63,0.629,1
0,2,42,42.05,0.623,1
0,0,6,6.0,0.617,1
0,0,0,0.0,0.623,1
0,0,14,14.0,0.64,1
0,0,0,0.0,0.675,1
0,0,0,0.0,0.653,1
0,0,0,0.0,0.658,1
0,0,0,0.0,0.662,1
0,0,0,0.0,0.667,1
2,0,0,2.0,0.677,1
49,16,166,173.82,0.647,1
88,5,214,231.44,0.644,1
14,0,79,80.23,0.645,1
17,0,23,28.6,0.647,1
0,0,31,31.0,0.617,1
16,0,16,22.63,0.613,1
0,0,0,0.0,0.596,1
0,0,0,0.0,0.587,1
0,0,0,0.0,0.587,1
0,0,0,0.0,0.577,1
0,0,0,0.0,0.671,1
0,0,0,0.0,0.673,1
0,0,0,0.0,0.649,1
0,0,0,0.0,0.646,1
1,0,11,11.05,0.626,1
0,0,0,0.0,0.602,1
0,0,0,0.0,0.598,1
0,0,0,0.0,0.579,1
0,0,0,0.0,0.568,1
0,0,0,0.0,0.561,1
6,0,0,6.0,0.565,1
23,14,39,47.39,0.576,1
55,9,95,110.14,0.601,1
65,178,258,320.11,0.674,1
9,28,157,159.73,0.681,1
11,112,180,212.29,0.729,1
38,27,299,302.61,0.739,1
70,19,213,225.01,0.7,1
14,0,47,49.04,0.681,1
5,0,50,50.25,0.673,1
49,57,159,175.87,0.66,1
15,23,88,92.18,0.634,1
0,0,59,59.0,0.629,1
22,14,13,29.14,0.626,1
36,58,146,161.17,0.627,1
17,68,58,90.98,0.62,1
45,42,97,114.88,0.655,1
0,0,63,63.0,0.729,1
0,0,21,21.0,0.729,1
0,0,0,0.0,0.718,1
0,0,0,0.0,0.719,1
0,0,0,0.0,0.709,1
0,0,0,0.0,0.676,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.687,1
0,0,0,0.0,0.662,1
0,0,0,0.0,0.678,1
0,0,0,0.0,0.67,1
0,0,0,0.0,0.754,1
0,0,0,0.0,0.759,1
0,0,0,0.0,0.748,1
0,0,0,0.0,0.726,1
21,0,79,81.74,0.698,1
29,0,256,257.64,0.666,1
93,37,104,144.34,0.643,1
2,26,95,98.51,0.648,1
26,7,6,27.59,0.644,1
32,91,95,135.39,0.648,1
3,42,4,42.3,0.648,1
28,0,6,28.64,0.652,1
14,29,162,165.17,0.68,1
8,13,39,41.88,0.7,1
0,0,64,64.0,0.765,1
3,12,40,41.87,0.768,1
82,40,184,205.38,0.72,1
101,57,150,189.6,0.706,1
40,82,126,155.56,0.689,1
82,2,119,144.53,0.674,1
38,61,29,77.5,0.693,1
39,88,148,176.55,0.7,1
55,30,89,108.84,0.704,1
43,0,39,58.05,0.7,1
