Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.589,1
0,0,0,0.0,0.585,1
0,0,0,0.0,0.584,1
0,0,0,0.0,0.585,1
0,0,0,0.0,0.59,1
0,0,0,0.0,0.598,1
0,0,0,0.0,0.621,1
0,0,0,0.0,0.82,1
0,0,0,0.0,0.798,1
0,0,0,0.0,0.788,1
0,0,0,0.0,0.778,1
148,64,124,203.41,0.723,1
85,24,72,113.95,0.683,1
127,42,66,149.16,0.609,1
129,129,31,185.05,0.629,1
52,170,174,248.76,0.631,1
5,82,190,207.0,0.361,1
31,29,54,68.69,0.282,1
23,111,146,184.84,0.316,1
91,75,113,163.32,0.359,1
69,163,78,193.43,0.438,1
140,153,131,245.3,0.291,1
37,51,27,68.55,0.641,1
89,66,74,133.24,0.699,1
138,67,0,153.4,0.711,1
91,41,50,111.63,0.678,1
100,65,65,135.83,0.659,1
109,59,67,140.89,0.795,1
20,0,0,20.0,0.722,1
35,0,0,35.0,0.681,1
28,4,0,28.28,0.654,1
122,33,0,126.38,0.635,1
141,14,41,147.51,0.614,1
48,10,71,86.28,0.622,1
125,66,170,221.09,0.635,1
79,40,53,103.2,0.64,1
2,2,0,2.83,0.621,1
43,49,85,107.12,0.61,1
55,0,42,69.2,0.611,1
6,0,1,6.08,0.598,1
28,0,25,37.54,0.596,1
40,0,137,142.72,0.594,1
137,106,267,318.27,0.606,1
53,34,57,84.94,0.726,1
56,35,37,75.7,0.734,1
0,0,12,12.0,0.707,1
0,0,0,0.0,0.675,1
0,0,0,0.0,0.663,1
0,0,0,0.0,0.65,1
0,0,0,0.0,0.646,1
0,0,0,0.0,0.637,1
0,0,0,0.0,0.64,1
10,23,6,25.79,0.635,1
0,1,0,1.0,0.63,1
16,2,6,17.2,0.618,1
2,0,0,2.0,0.639,1
0,0,0,0.0,0.791,1
0,0,0,0.0,0.798,1
6,0,0,6.0,0.753,1
0,0,0,0.0,0.706,1
0,0,0,0.0,0.695,1
0,0,0,0.0,0.704,1
0,0,0,0.0,0.681,1
34,0,9,35.17,0.63,1
93,38,59,116.51,0.635,1
93,48,20,106.55,0.614,1
24,21,3,32.03,0.604,1
29,0,4,29.27,0.616,1
37,29,40,61.73,0.628,1
124,166,74,220.02,0.642,1
35,67,75,106.48,0.646,1
59,105,35,125.42,0.649,1
109,79,15,135.45,0.649,1
19,28,31,45.89,0.646,1
52,170,62,188.28,0.618,1
41,54,12,68.85,0.613,1
26,76,25,84.12,0.623,1
76,151,63,180.41,0.625,1
20,48,26,58.14,0.742,1
42,23,0,47.89,0.69,1
0,0,0,0.0,0.622,1
0,0,4,4.0,0.62,1
38,5,72,81.57,0.634,1
23,5,58,62.59,0.607,1
0,0,0,0.0,0.607,1
0,0,0,0.0,0.6,1
0,0,0,0.0,0.613,1
0,0,0,0.0,0.627,1
68,50,87,121.21,0.622,1
329,101,207,401.61,0.639,1
81,87,46,127.46,0.65,1
79,40,39,96.76,0.812,1
40,0,6,40.45,0.77,1
220,122,104,272.21,0.719,1
86,63,41,114.22,0.659,1
32,24,30,50.0,0.613,1
58,71,22,94.28,0.604,1
121,221,44,255.77,0.598,1
143,137,66,208.74,0.601,1
95,19,67,117.79,0.611,1
57,12,14,59.91,0.769,1
73,70,85,132.11,0.758,1
151,299,130,359.31,0.695,1
29,34,21,49.38,0.66,1
0,73,0,73.0,0.76,1
2,48,23,53.26,0.78,1
12,26,9,30.02,0.771,1
28,36,31,55.15,0.763,1
35,11,23,43.3,0.725,1
107,45,119,166.24,0.671,1
52,50,38,81.54,0.644,1
14,35,63,73.42,0.621,1
147,141,110,231.5,0.62,1
209,124,73,253.74,0.631,1
79,0,46,91.42,0.796,1
183,190,151,303.96,0.783,1
114,143,91,204.27,0.78,1
202,408,59,459.07,0.776,1
34,179,114,214.93,0.763,1
0,29,1,29.02,0.774,1
0,16,0,16.0,0.782,1
0,0,0,0.0,0.634,1
0,0,0,0.0,0.838,1
51,116,102,162.67,0.777,1
159,94,86,203.75,0.756,1
41,95,63,121.14,0.763,1
137,139,41,199.43,0.717,1
74,20,9,77.18,0.666,1
72,0,0,72.0,0.645,1
170,37,48,180.48,0.639,1
85,175,104,220.6,0.638,1
66,67,9,94.48,0.617,1
8,43,0,43.74,0.621,1
0,0,0,0.0,0.61,1
0,14,23,26.93,0.734,1
0,0,0,0.0,0.735,1
0,0,0,0.0,0.693,1
0,0,0,0.0,0.654,1
7,5,34,35.07,0.651,1
88,274,133,317.03,0.655,1
0,105,14,105.93,0.665,1
22,119,23,123.18,0.664,1
107,274,181,345.38,0.652,1
4,87,76,115.59,0.639,1
0,89,0,89.0,0.621,1
0,21,0,21.0,0.615,1
0,0,0,0.0,0.642,1
0,0,0,0.0,0.701,1
0,0,0,0.0,0.779,1
18,73,59,95.57,0.798,1
163,112,37,201.2,0.792,1
57,44,5,72.18,0.748,1
