Axis1,Axis2,Axis3,Vector Magnitude,RR,label
19,0,0,19.0,0.676,1
49,0,5,49.25,0.598,1
108,34,3,113.27,0.596,1
45,5,0,45.28,0.624,1
99,0,46,109.17,0.321,1
0,0,0,0.0,0.326,1
76,0,53,92.66,0.264,1
70,15,24,75.5,0.5,1
47,31,7,56.74,0.336,1
16,16,13,26.1,0.319,1
55,11,101,115.53,2.637,1
27,13,58,65.28,0.259,1
2,27,47,54.24,0.688,1
46,41,39,72.92,0.701,1
37,33,78,92.42,4.042,1
49,37,31,68.78,0.467,1
35,30,1,46.11,0.287,1
40,57,32,76.64,0.281,1
89,73,20,116.83,2.182,1
38,21,18,47.0,0.468,1
49,64,40,89.98,0.297,1
0,2,42,42.05,0.321,1
0,0,5,5.0,0.268,1
29,27,12,41.4,3.81,1
102,112,57,161.85,0.495,1
80,84,98,151.86,0.305,1
78,108,58,145.3,0.305,1
22,31,47,60.45,2.428,1
31,0,36,47.51,0.273,1
23,11,64,68.89,4.235,1
105,112,54,162.74,0.54,1
61,45,2,75.83,0.537,1
46,39,26,65.67,0.353,1
7,0,0,7.0,0.624,1
4,0,0,4.0,0.36,1
0,0,0,0.0,0.313,1
0,0,0,0.0,3.607,1
0,0,0,0.0,0.56,1
0,0,0,0.0,0.605,1
21,11,13,27.04,0.611,1
0,0,0,0.0,0.654,1
31,33,42,61.76,0.652,1
21,140,53,151.16,0.727,1
6,68,37,77.65,0.713,1
89,56,222,245.64,0.751,1
72,60,53,107.67,0.75,1
44,0,81,92.18,0.712,1
30,0,14,33.11,0.694,1
0,0,0,0.0,0.671,1
61,0,0,61.0,0.648,1
32,41,40,65.61,0.61,1
37,23,44,61.92,0.579,1
12,19,99,101.52,0.561,1
20,28,64,72.66,0.543,1
33,51,23,64.95,0.541,1
95,55,60,125.1,0.555,1
59,62,30,90.69,0.668,1
166,14,163,233.07,0.662,1
59,8,29,66.23,0.634,1
48,16,41,65.12,0.626,1
22,4,39,44.96,0.615,1
11,41,34,54.39,0.597,1
29,45,47,71.24,0.591,1
44,118,57,138.24,0.584,1
143,216,120,285.49,0.573,1
116,162,89,218.22,0.477,1
51,24,103,117.41,0.32,1
99,205,59,235.17,0.602,1
81,95,23,126.94,0.853,1
62,125,53,149.26,0.544,1
58,115,106,166.81,1.072,1
59,112,215,249.5,0.526,1
0,14,53,54.82,0.521,1
0,0,26,26.0,0.524,1
0,0,0,0.0,0.535,1
40,22,79,91.24,0.547,1
43,27,15,52.94,0.559,1
16,16,17,28.3,0.546,1
28,27,14,41.34,0.563,1
77,60,11,98.23,0.582,1
18,24,0,30.0,0.603,1
4,34,0,34.23,0.604,1
0,0,0,0.0,0.612,1
0,0,0,0.0,0.586,1
52,26,37,68.91,0.607,1
11,1,0,11.05,0.625,1
30,0,35,46.1,0.602,1
63,29,91,114.42,0.624,1
12,29,49,58.19,0.611,1
87,4,125,152.35,0.592,1
35,1,56,66.05,0.569,1
16,0,36,39.4,0.563,1
0,0,0,0.0,0.561,1
0,0,0,0.0,0.564,1
0,0,0,0.0,0.578,1
0,0,0,0.0,0.576,1
40,101,94,143.66,0.596,1
26,84,14,89.04,0.61,1
82,17,101,131.2,0.626,1
45,35,22,61.11,0.634,1
115,32,97,153.81,0.7,1
7,24,14,28.65,0.614,1
39,38,37,65.83,0.642,1
66,0,171,183.29,0.624,1
31,28,83,92.92,0.616,1
0,0,88,88.0,0.634,1
0,10,127,127.39,0.63,1
13,0,37,39.22,0.641,1
0,0,8,8.0,0.646,1
0,0,11,11.0,0.667,1
9,0,46,46.87,0.689,1
49,16,95,108.08,0.732,1
21,0,56,59.81,0.701,1
0,0,0,0.0,0.695,1
47,0,28,54.71,0.712,1
3,0,0,3.0,0.728,1
110,33,211,240.23,0.694,1
16,0,90,91.41,0.664,1
0,0,110,110.0,0.673,1
0,0,0,0.0,0.686,1
75,0,131,150.95,0.713,1
10,0,36,37.36,0.677,1
0,0,48,48.0,0.691,1
