Axis1,Axis2,Axis3,Vector Magnitude,RR,label
14,13,134,135.36,0.601,0
34,0,59,68.1,0.646,0
65,15,173,185.42,0.769,0
35,17,110,116.68,0.761,0
62,14,191,201.3,0.78,0
71,26,85,113.76,0.689,0
33,5,91,96.93,0.692,0
11,0,76,76.79,0.68,0
42,19,124,132.29,0.666,0
26,0,12,28.64,0.254,0
88,33,76,120.87,0.4,0
57,50,191,205.5,0.665,0
17,29,37,49.99,0.682,0
39,157,91,185.61,0.667,0
22,49,14,55.51,0.646,0
28,51,15,60.08,0.633,0
0,7,0,7.0,0.636,0
0,0,0,0.0,0.624,0
0,0,0,0.0,0.616,0
0,0,1,1.0,0.616,0
39,4,79,88.19,0.617,0
39,6,28,48.38,0.609,0
41,10,10,43.37,0.61,0
48,3,0,48.09,0.588,0
25,0,0,25.0,0.646,0
0,0,0,0.0,0.621,0
14,0,3,14.32,0.632,0
13,157,98,185.53,0.761,0
200,141,95,262.5,0.813,0
111,84,55,149.67,0.733,0
193,82,206,293.95,0.761,0
90,111,83,165.26,0.723,0
23,45,67,83.92,0.683,0
34,13,40,54.08,0.685,0
55,16,31,65.13,0.657,0
12,13,0,17.69,0.609,0
0,0,0,0.0,0.63,0
0,0,0,0.0,0.618,0
0,0,0,0.0,0.628,0
0,0,0,0.0,0.257,0
0,0,0,0.0,0.364,0
0,0,0,0.0,0.31,0
0,0,0,0.0,11.099,0
19,47,8,51.32,6.253,0
14,5,0,14.87,0.763,0
0,0,0,0.0,2.72,0
149,88,249,303.23,0.476,0
93,141,150,225.9,3.226,0
51,123,127,184.01,0.34,0
25,48,123,134.38,0.482,0
22,62,82,105.13,0.271,0
39,15,93,101.96,0.292,0
28,63,72,99.68,0.438,0
26,53,96,112.7,0.338,0
41,11,113,120.71,0.356,0
25,5,29,38.61,0.347,0
31,0,82,87.66,0.617,0
46,57,227,238.52,0.607,0
11,38,159,163.85,0.6,0
50,42,180,191.48,0.599,0
99,0,166,193.28,0.61,0
17,0,68,70.09,0.623,0
0,56,5,56.22,0.662,0
0,30,7,30.81,0.653,0
24,0,32,40.0,0.656,0
18,17,54,59.41,0.707,0
11,21,59,63.58,0.767,0
5,12,79,80.06,0.79,0
3,2,46,46.14,0.744,0
0,0,18,18.0,0.71,0
0,0,21,21.0,0.693,0
49,18,51,72.98,0.688,0
65,24,121,139.43,0.673,0
55,0,87,102.93,0.685,0
40,0,43,58.73,0.684,0
73,20,100,125.42,0.662,0
37,51,113,129.38,0.667,0
2,33,47,57.46,0.691,0
54,74,80,121.62,0.701,0
18,105,30,110.68,0.761,0
0,67,2,67.03,0.74,0
0,15,0,15.0,0.763,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.711,0
86,88,201,235.67,0.675,0
75,33,276,287.91,0.664,0
36,7,49,61.2,0.659,0
16,67,80,105.57,0.65,0
0,23,33,40.22,0.651,0
0,4,0,4.0,0.642,0
0,31,45,54.64,0.631,0
18,61,46,78.49,0.626,0
0,22,29,36.4,0.618,0
31,21,33,49.91,0.615,0
24,16,58,64.78,0.608,0
21,1,30,36.63,0.672,0
49,1,44,65.86,0.669,0
25,23,38,50.97,0.67,0
28,66,30,77.72,0.673,0
6,25,16,30.28,0.668,0
116,224,40,255.41,0.655,0
38,68,15,79.33,0.647,0
0,68,42,79.92,0.635,0
6,18,34,38.94,0.628,0
127,229,91,277.22,0.622,0
38,78,88,123.58,0.616,0
108,196,164,277.45,0.624,0
25,63,105,124.98,0.664,0
160,23,102,191.14,0.809,0
190,76,173,267.96,0.806,0
173,171,114,268.64,0.861,0
22,31,2,38.07,0.855,0
9,49,33,59.76,0.79,0
0,2,23,23.09,0.768,0
28,17,70,77.29,0.745,0
69,117,246,281.01,0.717,0
5,66,58,88.01,0.697,0
81,64,64,121.46,0.68,0
100,34,96,142.73,0.658,0
33,22,77,86.61,0.677,0
100,32,149,182.28,0.704,0
56,49,125,145.47,0.727,0
59,62,129,154.81,0.705,0
0,0,46,46.0,0.732,0
0,0,0,0.0,0.73,0
0,0,0,0.0,0.715,0
0,0,0,0.0,0.695,0
0,0,0,0.0,0.672,0
0,0,0,0.0,0.669,0
0,0,0,0.0,0.67,0
0,0,0,0.0,0.699,0
0,0,0,0.0,0.734,0
0,0,0,0.0,0.727,0
0,0,0,0.0,0.724,0
39,0,40,55.87,0.695,0
66,75,164,192.03,0.672,0
103,72,95,157.54,0.663,0
51,42,67,94.1,0.653,0
0,0,0,0.0,0.667,0
0,0,0,0.0,0.697,0
0,0,0,0.0,0.787,0
0,0,0,0.0,0.681,0
0,0,0,0.0,0.71,0
0,0,0,0.0,0.688,0
0,0,0,0.0,0.678,0
0,0,0,0.0,0.653,0
0,0,0,0.0,0.649,0
0,0,0,0.0,0.66,0
0,0,0,0.0,0.658,0
0,0,0,0.0,0.684,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.747,0
0,0,0,0.0,0.795,0
0,0,0,0.0,0.763,0
0,0,0,0.0,0.759,0
0,0,0,0.0,0.699,0
0,0,0,0.0,0.691,0
0,0,0,0.0,0.687,0
0,0,0,0.0,0.686,0
0,0,0,0.0,0.696,0
0,0,0,0.0,0.701,0
0,0,0,0.0,0.718,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.668,0
4,0,12,12.65,0.673,0
0,0,18,18.0,0.679,0
0,0,0,0.0,0.724,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.834,0
0,0,0,0.0,0.688,0
0,0,0,0.0,0.751,0
0,0,0,0.0,0.753,0
0,0,0,0.0,0.741,0
0,0,0,0.0,0.733,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.685,0
0,0,0,0.0,0.641,0
0,0,0,0.0,0.649,0
0,0,0,0.0,0.647,0
0,0,0,0.0,0.664,0
0,0,0,0.0,0.717,0
0,0,0,0.0,0.751,0
0,0,0,0.0,0.778,0
0,0,0,0.0,0.779,0
0,0,0,0.0,0.753,0
0,0,0,0.0,0.72,0
0,0,0,0.0,0.72,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.758,0
3,0,0,3.0,0.778,0
0,0,0,0.0,0.75,0
0,0,0,0.0,0.768,0
0,0,0,0.0,0.802,0
0,0,0,0.0,0.807,0
0,0,0,0.0,0.824,0
0,0,0,0.0,0.802,0
0,0,0,0.0,0.767,0
0,0,0,0.0,0.796,0
26,0,23,34.71,0.816,0
25,25,76,83.82,0.796,0
69,89,100,150.61,0.737,0
33,30,177,182.53,0.768,0
0,0,31,31.0,0.691,0
7,0,42,42.58,0.741,0
0,0,9,9.0,0.91,0
0,0,0,0.0,0.857,0
13,0,26,29.07,0.834,0
0,4,11,11.7,0.83,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.759,0
0,0,0,0.0,0.729,0
0,0,0,0.0,0.706,0
0,0,0,0.0,0.702,0
40,43,93,109.99,0.698,0
63,60,98,131.05,0.717,0
107,96,96,172.86,0.878,0
52,49,183,196.45,0.864,0
0,0,0,0.0,0.819,0
0,0,0,0.0,0.882,0
0,0,0,0.0,0.853,0
0,0,0,0.0,0.835,0
0,0,0,0.0,0.825,0
0,0,0,0.0,0.758,0
0,0,0,0.0,0.761,0
0,0,0,0.0,0.768,0
0,0,5,5.0,0.762,0
20,0,28,34.41,0.75,0
21,31,157,161.4,0.813,0
0,113,54,125.24,0.82,0
47,124,152,201.72,0.784,0
6,98,91,133.87,0.759,0
19,51,26,60.32,0.805,0
45,1,87,97.95,0.797,0
0,0,14,14.0,0.751,0
41,0,124,130.6,0.786,0
75,2,122,143.22,0.794,0
170,45,224,284.78,0.745,0
68,24,108,129.86,0.792,0
39,57,199,210.64,0.803,0
3,29,27,39.74,0.809,0
0,16,0,16.0,0.755,0
0,0,0,0.0,0.747,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.753,0
0,0,0,0.0,0.766,0
0,0,0,0.0,0.749,0
0,0,0,0.0,0.806,0
0,0,0,0.0,0.81,0
0,0,0,0.0,0.783,0
0,0,0,0.0,0.721,0
0,0,0,0.0,0.733,0
0,0,0,0.0,0.755,0
0,0,0,0.0,0.783,0
0,0,0,0.0,0.79,0
0,0,0,0.0,0.749,0
0,0,0,0.0,0.796,0
0,0,0,0.0,0.833,0
0,0,0,0.0,0.799,0
0,0,0,0.0,0.777,0
0,0,0,0.0,0.784,0
0,0,0,0.0,0.779,0
0,0,0,0.0,0.756,0
0,0,0,0.0,0.72,0
0,0,0,0.0,0.746,0
0,0,0,0.0,0.769,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.833,0
0,0,0,0.0,0.769,0
0,0,0,0.0,0.713,0
0,0,0,0.0,0.734,0
0,0,0,0.0,0.735,0
0,0,0,0.0,0.823,0
0,0,0,0.0,0.979,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.885,0
0,0,0,0.0,0.938,0
0,0,0,0.0,0.914,0
0,0,0,0.0,0.843,0
0,0,0,0.0,0.789,0
0,0,0,0.0,0.774,0
0,0,0,0.0,0.749,0
0,0,0,0.0,0.713,0
0,0,0,0.0,0.735,0
43,31,35,63.52,0.809,0
44,13,33,56.52,0.937,0
0,0,0,0.0,0.763,0
0,0,0,0.0,0.907,0
0,0,0,0.0,0.86,0
9,1,0,9.06,0.81,0
86,196,67,224.28,0.851,0
31,257,110,281.26,0.867,0
24,22,29,43.6,0.848,0
0,1,0,1.0,0.771,0
0,0,0,0.0,0.773,0
0,0,0,0.0,0.766,0
14,6,16,22.09,0.786,0
38,73,97,127.21,0.827,0
1,0,46,46.01,0.8,0
0,0,43,43.0,0.862,0
0,0,0,0.0,0.819,0
0,0,0,0.0,0.777,0
0,0,0,0.0,0.758,0
0,0,0,0.0,0.719,0
0,1,0,1.0,0.737,0
37,28,20,50.53,0.756,0
25,62,33,74.55,0.771,0
9,0,0,9.0,0.731,0
0,0,0,0.0,0.746,0
0,0,0,0.0,0.752,0
0,0,0,0.0,0.75,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.755,0
0,0,0,0.0,0.726,0
0,0,0,0.0,0.758,0
0,0,0,0.0,0.76,0
0,0,0,0.0,0.75,0
0,0,0,0.0,0.672,0
0,0,0,0.0,0.663,0
0,0,0,0.0,0.666,0
0,0,0,0.0,0.648,0
0,0,0,0.0,0.644,0
0,0,0,0.0,0.637,0
0,0,0,0.0,0.64,0
90,0,10,90.55,0.634,0
133,21,3,134.68,0.632,0
157,218,125,296.31,0.62,0
125,100,24,161.87,0.621,0
14,91,36,98.86,0.618,0
104,22,76,130.68,0.617,0
76,98,179,217.76,0.619,0
56,33,18,67.45,0.63,0
0,58,0,58.0,0.638,0
0,10,0,10.0,0.671,0
