Axis1,Axis2,Axis3,Vector Magnitude,RR,label
0,0,0,0.0,0.798,0
0,0,0,0.0,0.784,0
0,0,0,0.0,0.77,0
0,0,0,0.0,0.749,0
0,0,0,0.0,0.738,0
0,0,0,0.0,0.713,0
0,0,0,0.0,0.742,0
0,0,0,0.0,0.743,0
0,0,0,0.0,0.754,0
0,0,0,0.0,0.762,0
0,0,0,0.0,0.744,0
0,0,0,0.0,0.73,0
0,0,0,0.0,0.76,0
0,0,0,0.0,0.779,0
0,0,0,0.0,0.815,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.801,0
0,0,0,0.0,0.815,0
0,0,0,0.0,0.824,0
0,0,0,0.0,0.827,0
0,0,0,0.0,0.838,0
0,0,0,0.0,0.814,0
0,0,0,0.0,0.784,0
0,0,0,0.0,0.76,0
0,0,0,0.0,0.771,0
0,0,0,0.0,0.744,0
0,0,0,0.0,0.767,0
0,0,0,0.0,0.769,0
12,1,0,12.04,0.761,0
92,36,59,115.07,0.742,0
8,0,19,20.62,0.734,0
10,2,0,10.2,0.743,0
46,94,122,160.74,0.743,0
1,14,41,43.34,0.755,0
161,176,166,290.61,0.745,0
54,53,38,84.67,0.745,0
41,34,0,53.26,0.762,0
0,0,0,0.0,0.77,0
0,0,0,0.0,0.783,0
0,0,0,0.0,0.8,0
0,0,0,0.0,0.792,0
0,0,0,0.0,0.786,0
0,0,0,0.0,0.753,0
13,1,14,19.13,0.763,0
38,98,25,108.04,0.761,0
64,12,214,223.69,0.773,0
34,79,154,176.39,0.813,0
42,62,85,113.28,0.791,0
101,100,33,145.91,0.854,0
23,76,3,79.46,0.892,0
9,24,8,26.85,0.906,0
5,0,78,78.16,0.86,0
36,0,99,105.34,0.879,0
96,54,134,173.46,0.802,0
108,102,113,186.65,0.823,0
87,188,216,299.28,0.833,0
75,132,81,172.08,0.863,0
0,0,0,0.0,0.837,0
0,0,0,0.0,0.865,0
0,0,0,0.0,0.871,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.855,0
0,0,0,0.0,0.817,0
0,0,0,0.0,0.825,0
4,0,36,36.22,0.82,0
0,0,26,26.0,0.836,0
0,0,4,4.0,0.846,0
9,0,22,23.77,0.815,0
0,0,0,0.0,0.852,0
0,5,35,35.36,0.874,0
57,21,56,82.62,0.889,0
40,7,77,87.05,0.859,0
15,48,34,60.7,0.845,0
17,0,17,24.04,0.84,0
0,0,0,0.0,0.826,0
0,0,0,0.0,0.813,0
0,0,0,0.0,0.776,0
0,0,0,0.0,0.799,0
0,0,0,0.0,0.806,0
0,0,0,0.0,0.816,0
0,0,0,0.0,0.842,0
0,0,0,0.0,0.806,0
0,0,0,0.0,0.83,0
0,0,0,0.0,0.821,0
0,0,0,0.0,0.746,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.723,0
0,0,0,0.0,0.719,0
0,0,0,0.0,0.719,0
0,0,0,0.0,0.72,0
0,0,0,0.0,0.713,0
0,0,0,0.0,0.714,0
0,0,0,0.0,0.725,0
0,0,0,0.0,0.73,0
0,0,0,0.0,0.737,0
0,0,0,0.0,0.745,0
0,0,0,0.0,0.769,0
0,0,0,0.0,0.781,0
0,0,0,0.0,0.797,0
0,0,0,0.0,0.81,0
0,0,0,0.0,0.807,0
0,0,0,0.0,0.831,0
0,0,0,0.0,0.833,0
0,0,0,0.0,0.851,0
0,0,0,0.0,0.839,0
0,0,0,0.0,0.822,0
0,0,0,0.0,0.79,0
0,0,0,0.0,0.794,0
23,23,6,33.08,0.782,0
55,48,24,76.84,0.779,0
75,0,100,125.0,0.762,0
142,18,231,271.75,0.786,0
43,30,57,77.45,0.829,0
29,56,53,82.38,0.838,0
49,27,0,55.95,0.827,0
16,12,1,20.02,0.833,0
0,0,0,0.0,0.793,0
0,0,0,0.0,0.801,0
0,0,0,0.0,0.296,0
0,0,0,0.0,0.522,0
0,0,0,0.0,0.375,0
0,0,0,0.0,1.705,0
0,0,0,0.0,0.392,0
0,0,0,0.0,0.39,0
0,0,0,0.0,0.656,0
0,0,0,0.0,0.308,0
0,0,0,0.0,0.408,0
0,0,0,0.0,0.826,0
0,0,0,0.0,0.277,0
0,0,0,0.0,0.29,0
1,0,2,2.24,0.313,0
90,123,154,216.67,0.28,0
12,33,105,110.72,13.756,0
27,40,9,49.09,0.602,0
0,0,0,0.0,0.324,0
0,0,0,0.0,0.285,0
0,0,0,0.0,0.368,0
0,0,0,0.0,0.434,0
3,11,0,11.4,0.34,0
70,111,98,163.78,0.313,0
33,68,40,85.52,0.431,0
19,6,10,22.29,0.254,0
0,0,0,0.0,0.257,0
0,0,0,0.0,0.257,0
0,0,0,0.0,0.371,0
6,0,10,11.66,0.337,0
0,0,0,0.0,0.358,0
23,0,11,25.5,0.263,0
0,0,0,0.0,9.572,0
0,0,0,0.0,1.455,0
0,0,0,0.0,3.11,0
0,0,0,0.0,0.599,0
0,0,0,0.0,0.588,0
0,0,0,0.0,0.563,0
0,0,0,0.0,2.317,0
0,0,0,0.0,0.484,0
0,0,0,0.0,0.659,0
0,0,0,0.0,0.251,0
0,0,0,0.0,0.912,0
0,0,0,0.0,0.563,0
0,0,0,0.0,1.14,0
0,0,0,0.0,0.571,0
0,0,0,0.0,0.533,0
0,0,0,0.0,0.288,0
0,0,0,0.0,0.343,0
0,0,0,0.0,0.759,0
0,0,0,0.0,0.441,0
21,61,3,64.58,0.291,0
11,56,31,64.95,1.831,0
0,53,0,53.0,2.224,0
0,9,0,9.0,2.235,0
0,0,0,0.0,0.622,0
0,0,0,0.0,2.063,0
22,32,78,87.13,0.315,0
0,45,71,84.06,0.333,0
3,0,9,9.49,2.542,0
26,27,4,37.7,0.563,0
65,8,61,89.5,0.265,0
122,10,269,295.54,0.383,0
80,14,83,116.12,0.644,0
0,0,3,3.0,0.276,0
8,0,10,12.81,0.346,0
0,0,0,0.0,0.266,0
0,0,0,0.0,0.379,0
0,0,0,0.0,0.656,0
0,0,8,8.0,0.658,0
0,0,0,0.0,0.662,0
20,0,19,27.59,0.367,0
58,0,60,83.45,0.289,0
15,0,20,25.0,0.655,0
38,0,33,50.33,0.647,0
17,0,13,21.4,0.649,0
4,0,2,4.47,0.644,0
0,0,0,0.0,0.304,0
0,0,0,0.0,0.338,0
0,0,0,0.0,0.559,0
0,0,0,0.0,0.535,0
12,3,9,15.3,0.265,0
0,0,0,0.0,0.529,0
0,0,0,0.0,0.621,0
0,0,0,0.0,0.62,0
0,0,0,0.0,0.62,0
0,0,0,0.0,0.277,0
0,0,0,0.0,0.506,0
0,0,0,0.0,0.461,0
0,0,0,0.0,0.865,0
0,0,0,0.0,0.825,0
0,0,0,0.0,0.847,0
33,49,14,60.71,0.825,0
71,82,13,109.24,0.837,0
53,51,0,73.55,0.866,0
13,10,0,16.4,0.845,0
0,0,0,0.0,0.896,0
0,0,0,0.0,0.919,0
0,0,0,0.0,0.943,0
0,0,0,0.0,0.945,0
0,0,0,0.0,0.886,0
0,0,0,0.0,0.892,0
0,0,0,0.0,0.88,0
0,0,0,0.0,0.851,0
0,0,0,0.0,0.815,0
0,0,0,0.0,0.84,0
0,0,0,0.0,0.822,0
0,0,0,0.0,0.817,0
0,0,0,0.0,0.815,0
0,0,0,0.0,0.805,0
79,77,10,110.77,0.838,0
0,0,0,0.0,0.845,0
0,0,0,0.0,0.857,0
0,0,0,0.0,0.84,0
0,0,0,0.0,0.87,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.823,0
0,0,0,0.0,0.789,0
0,0,0,0.0,0.81,0
0,0,0,0.0,0.794,0
0,0,0,0.0,0.857,0
0,0,0,0.0,0.825,0
0,0,0,0.0,0.839,0
0,0,0,0.0,0.827,0
0,0,0,0.0,0.841,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.818,0
0,0,0,0.0,0.839,0
0,0,0,0.0,0.83,0
0,0,0,0.0,0.836,0
0,0,0,0.0,0.845,0
0,0,0,0.0,0.826,0
0,0,0,0.0,0.865,0
0,0,0,0.0,0.875,0
0,0,0,0.0,0.866,0
0,0,0,0.0,0.859,0
0,0,78,78.0,0.881,0
0,0,49,49.0,0.883,0
0,0,0,0.0,0.85,0
0,0,0,0.0,0.823,0
0,0,0,0.0,0.851,0
0,0,0,0.0,0.851,0
0,0,0,0.0,0.87,0
0,0,0,0.0,0.886,0
0,0,0,0.0,0.87,0
0,0,0,0.0,0.856,0
0,0,0,0.0,0.871,0
0,0,0,0.0,0.873,0
0,0,0,0.0,0.86,0
0,0,0,0.0,0.838,0
0,0,0,0.0,0.822,0
0,0,0,0.0,0.786,0
0,0,0,0.0,0.767,0
0,0,0,0.0,0.797,0
0,0,0,0.0,0.798,0
0,0,0,0.0,0.832,0
0,0,0,0.0,0.814,0
0,0,0,0.0,0.846,0
0,0,0,0.0,0.834,0
0,0,0,0.0,0.827,0
0,0,0,0.0,0.815,0
0,0,0,0.0,0.781,0
0,0,0,0.0,0.798,0
0,0,0,0.0,0.758,0
0,0,0,0.0,0.777,0
37,36,36,62.94,0.777,0
65,4,56,85.89,0.774,0
112,7,274,296.09,0.785,0
92,29,129,161.08,0.813,0
155,69,227,283.4,0.847,0
57,0,99,114.24,0.853,0
56,5,24,61.13,0.849,0
117,6,223,251.9,0.823,0
52,6,222,228.09,0.849,0
134,152,129,240.21,0.833,0
21,62,2,65.49,0.819,0
127,177,72,229.44,0.814,0
